id,sessions,bearings,geometry
0_38,EL6W028_2022_05_27__20_13_39,294.7,"POLYGON ((-190370 5817405, -190370 5817485, -190450 5817485, -190450 5817405, -190370 5817405))"
1_38,EL6W028_2022_05_27__20_13_39,294.7,"POLYGON ((-190290 5817405, -190290 5817485, -190370 5817485, -190370 5817405, -190290 5817405))"
2_38,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,294.7|318.7,"POLYGON ((-190210 5817405, -190210 5817485, -190290 5817485, -190290 5817405, -190210 5817405))"
2_39,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,318.7|343.3,"POLYGON ((-190210 5817485, -190210 5817565, -190290 5817565, -190290 5817485, -190210 5817485))"
3_39,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,343.3|358.8|14.9|59.8,"POLYGON ((-190130 5817485, -190130 5817565, -190210 5817565, -190210 5817485, -190130 5817485))"
4_39,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-190050 5817485, -190050 5817565, -190130 5817565, -190130 5817485, -190050 5817485))"
5_39,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-189970 5817485, -189970 5817565, -190050 5817565, -190050 5817485, -189970 5817485))"
5_40,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-189970 5817565, -189970 5817645, -190050 5817645, -190050 5817565, -189970 5817565))"
6_40,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-189890 5817565, -189890 5817645, -189970 5817645, -189970 5817565, -189890 5817565))"
7_40,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-189810 5817565, -189810 5817645, -189890 5817645, -189890 5817565, -189810 5817565))"
7_41,EL6W028_2022_05_27__20_13_39,59.8,"POLYGON ((-189810 5817645, -189810 5817725, -189890 5817725, -189890 5817645, -189810 5817645))"
8_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,59.8|33.0|9.4|346.2,"POLYGON ((-189730 5817645, -189730 5817725, -189810 5817725, -189810 5817645, -189730 5817645))"
9_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,346.2|297.1,"POLYGON ((-189650 5817645, -189650 5817725, -189730 5817725, -189730 5817645, -189650 5817645))"
9_42,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189650 5817725, -189650 5817805, -189730 5817805, -189730 5817725, -189650 5817725))"
10_42,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189570 5817725, -189570 5817805, -189650 5817805, -189650 5817725, -189570 5817725))"
11_42,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189490 5817725, -189490 5817805, -189570 5817805, -189570 5817725, -189490 5817725))"
12_42,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189410 5817725, -189410 5817805, -189490 5817805, -189490 5817725, -189410 5817725))"
12_43,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189410 5817805, -189410 5817885, -189490 5817885, -189490 5817805, -189410 5817805))"
13_43,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189330 5817805, -189330 5817885, -189410 5817885, -189410 5817805, -189330 5817805))"
14_43,EL6W028_2022_05_27__20_13_39,297.1,"POLYGON ((-189250 5817805, -189250 5817885, -189330 5817885, -189330 5817805, -189250 5817805))"
15_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,297.1|322.0|349.2,"POLYGON ((-189170 5817805, -189170 5817885, -189250 5817885, -189250 5817805, -189170 5817805))"
16_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,349.2|17.5|47.9,"POLYGON ((-189090 5817805, -189090 5817885, -189170 5817885, -189170 5817805, -189090 5817805))"
17_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,47.9|78.4,"POLYGON ((-189010 5817805, -189010 5817885, -189090 5817885, -189090 5817805, -189010 5817805))"
17_44,EL6W028_2022_05_27__20_13_39,78.4,"POLYGON ((-189010 5817885, -189010 5817965, -189090 5817965, -189090 5817885, -189010 5817885))"
18_44,EL6W028_2022_05_27__20_13_39,78.4,"POLYGON ((-188930 5817885, -188930 5817965, -189010 5817965, -189010 5817885, -188930 5817885))"
19_44,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,78.4|100.3,"POLYGON ((-188850 5817885, -188850 5817965, -188930 5817965, -188930 5817885, -188850 5817885))"
20_44,EL6W028_2022_05_27__20_13_39,100.3,"POLYGON ((-188770 5817885, -188770 5817965, -188850 5817965, -188850 5817885, -188770 5817885))"
21_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,100.3|122.8,"POLYGON ((-188690 5817805, -188690 5817885, -188770 5817885, -188770 5817805, -188690 5817805))"
21_44,EL6W028_2022_05_27__20_13_39,100.3,"POLYGON ((-188690 5817885, -188690 5817965, -188770 5817965, -188770 5817885, -188690 5817885))"
22_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,122.8|144.8,"POLYGON ((-188610 5817805, -188610 5817885, -188690 5817885, -188690 5817805, -188610 5817805))"
23_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,144.8|172.4|201.9|237.2,"POLYGON ((-188530 5817805, -188530 5817885, -188610 5817885, -188610 5817805, -188530 5817805))"
24_43,EL6W028_2022_05_27__20_13_39,237.2,"POLYGON ((-188450 5817805, -188450 5817885, -188530 5817885, -188530 5817805, -188450 5817805))"
25_43,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,237.2|258.9,"POLYGON ((-188370 5817805, -188370 5817885, -188450 5817885, -188450 5817805, -188370 5817805))"
26_43,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-188290 5817805, -188290 5817885, -188370 5817885, -188370 5817805, -188290 5817805))"
27_43,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-188210 5817805, -188210 5817885, -188290 5817885, -188290 5817805, -188210 5817805))"
28_43,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-188130 5817805, -188130 5817885, -188210 5817885, -188210 5817805, -188130 5817805))"
29_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-188050 5817725, -188050 5817805, -188130 5817805, -188130 5817725, -188050 5817725))"
29_43,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-188050 5817805, -188050 5817885, -188130 5817885, -188130 5817805, -188050 5817805))"
30_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187970 5817725, -187970 5817805, -188050 5817805, -188050 5817725, -187970 5817725))"
31_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187890 5817725, -187890 5817805, -187970 5817805, -187970 5817725, -187890 5817725))"
32_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187810 5817725, -187810 5817805, -187890 5817805, -187890 5817725, -187810 5817725))"
33_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187730 5817725, -187730 5817805, -187810 5817805, -187810 5817725, -187730 5817725))"
34_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187650 5817725, -187650 5817805, -187730 5817805, -187730 5817725, -187650 5817725))"
35_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187570 5817725, -187570 5817805, -187650 5817805, -187650 5817725, -187570 5817725))"
36_41,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187490 5817645, -187490 5817725, -187570 5817725, -187570 5817645, -187490 5817645))"
36_42,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187490 5817725, -187490 5817805, -187570 5817805, -187570 5817725, -187490 5817725))"
37_41,EL6W028_2022_05_27__20_13_39,258.9,"POLYGON ((-187410 5817645, -187410 5817725, -187490 5817725, -187490 5817645, -187410 5817645))"
38_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,258.9|236.9,"POLYGON ((-187330 5817645, -187330 5817725, -187410 5817725, -187410 5817645, -187330 5817645))"
39_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,236.9|211.0|185.0,"POLYGON ((-187250 5817645, -187250 5817725, -187330 5817725, -187330 5817645, -187250 5817645))"
40_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,185.0|159.5|132.1,"POLYGON ((-187170 5817645, -187170 5817725, -187250 5817725, -187250 5817645, -187170 5817645))"
41_41,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,132.1|101.9,"POLYGON ((-187090 5817645, -187090 5817725, -187170 5817725, -187170 5817645, -187090 5817645))"
42_41,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-187010 5817645, -187010 5817725, -187090 5817725, -187090 5817645, -187010 5817645))"
43_41,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186930 5817645, -186930 5817725, -187010 5817725, -187010 5817645, -186930 5817645))"
44_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186850 5817565, -186850 5817645, -186930 5817645, -186930 5817565, -186850 5817565))"
44_41,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186850 5817645, -186850 5817725, -186930 5817725, -186930 5817645, -186850 5817645))"
45_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186770 5817565, -186770 5817645, -186850 5817645, -186850 5817565, -186770 5817565))"
46_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186690 5817565, -186690 5817645, -186770 5817645, -186770 5817565, -186690 5817565))"
47_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186610 5817565, -186610 5817645, -186690 5817645, -186690 5817565, -186610 5817565))"
48_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186530 5817565, -186530 5817645, -186610 5817645, -186610 5817565, -186530 5817565))"
49_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186450 5817565, -186450 5817645, -186530 5817645, -186530 5817565, -186450 5817565))"
50_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186370 5817565, -186370 5817645, -186450 5817645, -186450 5817565, -186370 5817565))"
51_39,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186290 5817485, -186290 5817565, -186370 5817565, -186370 5817485, -186290 5817485))"
51_40,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186290 5817565, -186290 5817645, -186370 5817645, -186370 5817565, -186290 5817565))"
52_39,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186210 5817485, -186210 5817565, -186290 5817565, -186290 5817485, -186210 5817485))"
53_39,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186130 5817485, -186130 5817565, -186210 5817565, -186210 5817485, -186130 5817485))"
54_39,EL6W028_2022_05_27__20_13_39,101.9,"POLYGON ((-186050 5817485, -186050 5817565, -186130 5817565, -186130 5817485, -186050 5817485))"
55_39,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,101.9|125.6,"POLYGON ((-185970 5817485, -185970 5817565, -186050 5817565, -186050 5817485, -185970 5817485))"
56_39,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,125.6|150.4|177.4|207.9,"POLYGON ((-185890 5817485, -185890 5817565, -185970 5817565, -185970 5817485, -185890 5817485))"
57_39,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,207.9|255.7,"POLYGON ((-185810 5817485, -185810 5817565, -185890 5817565, -185890 5817485, -185810 5817485))"
58_39,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185730 5817485, -185730 5817565, -185810 5817565, -185810 5817485, -185730 5817485))"
59_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185650 5817405, -185650 5817485, -185730 5817485, -185730 5817405, -185650 5817405))"
59_39,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185650 5817485, -185650 5817565, -185730 5817565, -185730 5817485, -185650 5817485))"
60_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185570 5817405, -185570 5817485, -185650 5817485, -185650 5817405, -185570 5817405))"
61_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185490 5817405, -185490 5817485, -185570 5817485, -185570 5817405, -185490 5817405))"
62_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185410 5817405, -185410 5817485, -185490 5817485, -185490 5817405, -185410 5817405))"
63_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185330 5817405, -185330 5817485, -185410 5817485, -185410 5817405, -185330 5817405))"
64_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185250 5817405, -185250 5817485, -185330 5817485, -185330 5817405, -185250 5817405))"
65_37,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185170 5817325, -185170 5817405, -185250 5817405, -185250 5817325, -185170 5817325))"
65_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185170 5817405, -185170 5817485, -185250 5817485, -185250 5817405, -185170 5817405))"
66_37,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185090 5817325, -185090 5817405, -185170 5817405, -185170 5817325, -185090 5817325))"
67_37,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,255.7|230.0,"POLYGON ((-185010 5817325, -185010 5817405, -185090 5817405, -185090 5817325, -185010 5817325))"
